Bank Name,Ticker,conml,Indeed Link,BHC_Folder_ID
national commerce financial corporation,,National Commerce Financial Corp,https://www.indeed.com/cmp/National-Commercial-Bank/reviews,290
"national penn bancshares, inc.",,National Penn Bancshares Inc,https://www.indeed.com/cmp/National-Penn-Bank/reviews,184
nbt bancorp inc.,NBTB,NBT Bancorp Inc,https://www.indeed.com/cmp/Nbt-Bank,93
"new york community bancorp, inc.",,New York Community Bancorp Inc.,https://www.indeed.com/cmp/New-York-Community-Bank/reviews,30
"newalliance bancshares, inc.",,NewAlliance Bancshares Inc,https://www.indeed.com/cmp/Newalliance-Bank/reviews,216
"north fork bancorporation, inc.",,North Fork Bancorporation Inc.,https://www.indeed.com/cmp/North-Fork-Bank/reviews,266
northern empire bancshares,,Northern Empire Bancshare,,263
northern trust corporation,,Northern Trust Corp,https://www.indeed.com/cmp/Northern-Trust-Corp./reviews,21
"oak hill financial, inc.",,Oak Hill Financial Inc,https://www.indeed.com/cmp/Oak-Hill/reviews,264
ofg bancorp,,OFG Bancorp,,115
old national bancorp,ONB,Old National Bancorp,https://www.indeed.com/cmp/Old-National-Bank/reviews,66
"old second bancorp, inc.",,Old Second Bancorp Inc,https://www.indeed.com/cmp/Old-Second-National-Bank/reviews,152
pacific capital bancorp,,Pacific Capital Bancorp,https://www.indeed.com/cmp/Pacific-Capital-Bancorp/reviews,209
pacific continental corporation,,Pacific Continental Corp,https://www.indeed.com/cmp/Pacific-Continental-Bank/reviews,151
"pacific premier bancorp, inc.",PPBI,,https://www.indeed.com/cmp/Pacific-Premier-Bank/reviews,
pacwest bancorp,PACW,PacWest Bancorp,https://www.indeed.com/cmp/Pacific-Western-Bank/reviews,51
park national corporation,PRK,Park National Corp,https://www.indeed.com/cmp/Park-National-Bank/reviews,104
"penns woods bancorp, inc.",,Penns Woods Bancorp Inc,,169
people's mutual holdings,,People's United Financial Inc,https://www.indeed.com/cmp/People's-United-Bank/reviews,268
"people's united financial, inc.",,People's United Financial Inc,https://www.indeed.com/cmp/People's-United-Bank/reviews,32
people's utah bancorp,,Peoples Utah Bancorp,,162
"peoples bancorp of north carolina, inc.",,Peoples Bancorp of North Carolina Inc.,https://www.indeed.com/cmp/Peoples-Bank/reviews,178
"peoples community bancorp, inc",,Peoples Community Bancorp Inc,https://www.indeed.com/cmp/Peoples-Community-Bank/reviews,278
"pinnacle financial partners, inc.",PNFP,Pinnacle Financial Partners Inc,https://www.indeed.com/cmp/Pinnacle-Bank/reviews,78
"pnc financial services group, inc., the",,PNC Financial Services Group Inc.,https://www.indeed.com/cmp/Pnc-Bank/reviews,8
"popular, inc.",BPOP,Popular Inc,https://www.indeed.com/cmp/Popular-Community-Bank/reviews,33
"porter bancorp, inc.",,Porter Bancorp Inc,,195
"princeton national bancorp, inc.",,Princeton National Bancorp Inc,,212
"privatebancorp, inc.",PVTB,PrivateBancorp Inc,,57
"prosperity bancshares, inc.",PB,Prosperity Bancshares Inc,https://www.indeed.com/cmp/Prosperity-Bank/reviews,50
provident bankshares corporation,,Provident Bankshares Corp,https://www.indeed.com/cmp/Provident-Bank/reviews,238
"provident financial group, inc.",,Provident Financial Group Inc,https://www.indeed.com/cmp/Provident-Financial/reviews,292
"provident financial services, inc.",,Provident Financial Services Inc.,https://www.indeed.com/cmp/Provident-Financial/reviews,86
pulaski financial corp.,,Pulaski Financial Corp,https://www.indeed.com/cmp/Pulaski-Bank/reviews,187
r&g financial corporation,,R&G Financial Corp.,,230
"raymond james financial, inc.",,Raymond James Financial Inc.,https://www.indeed.com/cmp/Raymond-James/reviews,37
rbc bancorporation (usa),,Centura Banks Inc,https://www.indeed.com/cmp/Centura-Bank/reviews,227
regions financial corporation,RF,Regions Financial Corp,https://www.indeed.com/cmp/Regions-Bank/reviews,20
regions financial corporation,,Regions Financial Corp,https://www.indeed.com/cmp/Regions-Financial-Bank/reviews,287
renasant corporation,RNST,Renasant Corp,https://www.indeed.com/cmp/Renasant-Bank/reviews,94
republic bancorp inc.,,Republic Bancorp Inc,https://www.indeed.com/cmp/Republic-Bank/reviews,272
riggs national corporation,,Riggs National Corp,https://www.indeed.com/cmp/Riggs-National-Bank/reviews,281
"s & t bancorp, inc.",STBA,S&T Bancorp Inc,https://www.indeed.com/cmp/S&T-Bank/reviews,109
"sandy spring bancorp, inc.",SASR,Sandy Spring Bancorp Inc,https://www.indeed.com/cmp/Sandy-Spring-Bank/reviews,129
santander bancorp,,Santander Bancorp,https://www.indeed.com/cmp/Santander-Bank/reviews,186
seacoast banking corporation of florida,,Seacoast Banking Corp of Florida,https://www.indeed.com/cmp/Seacoast-Bank/reviews,131
seacoast financial services corporation,,Seacoast Financial Services Corp,https://www.indeed.com/cmp/Seacoast-Bank/reviews,295
"servisfirst bancshares, inc.",SFBS,ServisFirst Bancshares Inc,https://www.indeed.com/cmp/Servisfirst-Bank-1/reviews,117
signature bank,SBNY,,https://www.indeed.com/cmp/Signature-Bank/reviews,
simmons first national corporation,SFNC,Simmons First National Corp,https://www.indeed.com/cmp/Simmons-Bank/reviews; https://www.indeed.com/cmp/Simmons-First-National-Bank/reviews,98
"sky financial group, inc.",,Sky Financial Group Inc,https://www.indeed.com/cmp/Sky-Financial-Group/reviews,257
"south financial group, inc., the",,South Financial Group Inc (The),,228
south state corporation,SSB,South State Corp,https://www.indeed.com/cmp/South-State-Bank/reviews,92
southern community financial corporation,,Southern Community Financial Corp,https://www.indeed.com/cmp/Southern-Community-Bank-and-Trust/reviews,211
"southside bancshares, incorporated",,Southside Bancshares Inc,https://www.indeed.com/cmp/Southside-Bank/reviews,123
southtrust corporation,,SouthTrust Corp,https://www.indeed.com/cmp/Southtrust-Bank/reviews,286
state bank financial corporation,STBZ,,https://www.indeed.com/cmp/State-Bank-and-Trust/reviews,
state street corporation,,State Street Corp,https://www.indeed.com/cmp/State-Street-Bank-and-Trust/reviews,11
sterling bancorp,STL,Sterling Bancorp,https://www.indeed.com/cmp/Sterling-National-Bank/reviews,70
"sterling bancshares, inc.",,Sterling Bancshares Inc,https://www.indeed.com/cmp/Sterling-Bank-Services/reviews,217
sterling financial corporation,,Sterling Financial Corp/WA,https://www.indeed.com/cmp/Sterling-Bank-Services/reviews,197
stifel financial corp.,,Stifel Financial Corp.,https://www.indeed.com/cmp/Stifel-Financial/reviews,59
"stock yards bancorp, inc.",SYBT,Stock Yards Bancorp Inc,https://www.indeed.com/cmp/Stock-Yards-Bank-&-Trust/reviews,143
"summit financial group, inc.",,Summit Financial Group Inc,https://www.indeed.com/cmp/Summit-Financial/reviews,159
"sun bancorp, inc.",,Sun Bancorp Inc,https://www.indeed.com/cmp/Sun-Bank/reviews,300
"suntrust banks, inc.",STI,SunTrust Banks Inc.,https://www.indeed.com/cmp/Suntrust/reviews,13
"susquehanna bancshares, inc.",,Susquehanna Bancshares Inc,https://www.indeed.com/cmp/Susquehanna-Bank/reviews,191
svb financial group,SIVB,SVB Financial Group,https://www.indeed.com/cmp/Svb/reviews,31
synovus financial corp.,SNV,Synovus Financial Corp.,https://www.indeed.com/cmp/Synovus-Bank/reviews; https://www.indeed.com/cmp/Synovus/reviews,39
talmer bancorp inc.,,Talmer Bancorp Inc,https://www.indeed.com/cmp/Talmer-Bank-and-Trust/reviews,185
"taylor capital group, inc.",,Taylor Capital Group Inc,,198
tcf financial corporation,TCB,TCF Financial Corp,https://www.indeed.com/cmp/Tcf-Bank/reviews,55
td bank us holding company,,TD Banknorth Inc,https://www.indeed.com/cmp/Td-Bank/reviews,189
"texas capital bancshares, inc.",TCBI,Texas Capital Bancshares Inc,https://www.indeed.com/cmp/Texas-Capital-Bank/reviews,53
"texas regional bancshares, inc.",,Texas Regional Bancshares Inc,,260
tfs financial corp,TFSL,,https://www.indeed.com/cmp/Toyota-Financial-Services/reviews,
tib financial corp.,,TIB Financial Corp,https://www.indeed.com/cmp/Tib-Bank/reviews,233
tompkins financial corporation,TMP,Tompkins Financial Corp,https://www.indeed.com/cmp/Tompkins-Trust-Company/reviews,119
